,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
3410,01.01.105_PERNAMBUCO,01.01.105,95,PERNAMBUCO
3446,01.01.106_MANOEL RIBAS,01.01.106,94,MANOEL RIBAS
1125,01.01.106_MINAS GERAIS,01.01.106,111,MINAS GERAIS
3436,01.01.106_PARAIBA,01.01.106,109,PARAIBA
1516,01.01.106_PERNAMBUCO,01.01.106,95,PERNAMBUCO
3523,01.01.107_MANOEL RIBAS,01.01.107,94,MANOEL RIBAS
3035,01.01.107_MINAS GERAIS,01.01.107,111,MINAS GERAIS
3011,01.01.107_PERNAMBUCO,01.01.107,95,PERNAMBUCO
1518,01.01.107_SOUZA NAVES,01.01.107,114,SOUZA NAVES
63,01.01.108_MANOEL RIBAS,01.01.108,94,MANOEL RIBAS
27007,01.01.108_MARECHAL CANDIDO RONDON,01.01.108,115,MARECHAL CANDIDO RONDON
3500,01.01.108_PERNAMBUCO,01.01.108,95,PERNAMBUCO
29768,01.01.108_SOUZA NAVES,01.01.108,114,SOUZA NAVES
21630,01.01.109_AMAPA,01.01.109,116,AMAPA
3489,01.01.109_MANOEL RIBAS,01.01.109,94,MANOEL RIBAS
9866,01.01.109_MARECHAL CANDIDO RONDON,01.01.109,115,MARECHAL CANDIDO RONDON
3499,01.01.109_PERNAMBUCO,01.01.109,95,PERNAMBUCO
28844,01.01.110_AMAPA,01.01.110,116,AMAPA
3026,01.01.110_PARANA,01.01.110,98,PARANA
3039,01.01.110_PERNAMBUCO,01.01.110,95,PERNAMBUCO
10900,01.01.111_GUAPORE,01.01.111,117,GUAPORE
27909,01.01.111_MANOEL RIBAS,01.01.111,94,MANOEL RIBAS
3042,01.01.111_PARANA,01.01.111,98,PARANA
3824,01.01.112_GUAPORE,01.01.112,117,GUAPORE
29489,01.01.112_LUIZ SPIGOLON,01.01.112,118,LUIZ SPIGOLON
3027,01.01.112_MANOEL RIBAS,01.01.112,94,MANOEL RIBAS
11170,01.01.112_PERNAMBUCO,01.01.112,95,PERNAMBUCO
18804,01.01.113_LUIZ SPIGOLON,01.01.113,118,LUIZ SPIGOLON
3834,01.01.113_PARANA,01.01.113,98,PARANA
23646,01.01.113_PERNAMBUCO,01.01.113,95,PERNAMBUCO
20543,01.01.114_GUAPORE,01.01.114,117,GUAPORE
3337,01.01.114_PARANA,01.01.114,98,PARANA
20542,01.01.114_RIO GRANDE DO NORTE,01.01.114,96,RIO GRANDE DO NORTE
7121,01.01.115_AMAPA,01.01.115,116,AMAPA
9885,01.01.115_GUAPORE,01.01.115,117,GUAPORE
7108,01.01.115_PERNAMBUCO,01.01.115,95,PERNAMBUCO
8627,01.01.115_RIO GRANDE DO NORTE,01.01.115,96,RIO GRANDE DO NORTE
8731,01.01.116_AMAPA,01.01.116,116,AMAPA
6984,01.01.116_MARECHAL CANDIDO RONDON,01.01.116,115,MARECHAL CANDIDO RONDON
14638,01.01.116_PERNAMBUCO,01.01.116,95,PERNAMBUCO
8730,01.01.116_RIO GRANDE DO NORTE,01.01.116,96,RIO GRANDE DO NORTE
23663,01.01.117_MARECHAL CANDIDO RONDON,01.01.117,115,MARECHAL CANDIDO RONDON
6981,01.01.117_PERNAMBUCO,01.01.117,95,PERNAMBUCO
6994,01.01.117_RIO GRANDE DO NORTE,01.01.117,96,RIO GRANDE DO NORTE
18851,01.01.117_SOUZA NAVES,01.01.117,114,SOUZA NAVES
9224,01.01.118_MINAS GERAIS,01.01.118,111,MINAS GERAIS
7212,01.01.118_PERNAMBUCO,01.01.118,95,PERNAMBUCO
7190,01.01.118_RIO GRANDE DO NORTE,01.01.118,96,RIO GRANDE DO NORTE
6963,01.01.118_SOUZA NAVES,01.01.118,114,SOUZA NAVES
6923,01.01.119_MINAS GERAIS,01.01.119,111,MINAS GERAIS
8570,01.01.119_PARAIBA,01.01.119,109,PARAIBA
6924,01.01.119_PERNAMBUCO,01.01.119,95,PERNAMBUCO
23609,01.01.119_RIO GRANDE DO NORTE,01.01.119,96,RIO GRANDE DO NORTE
21235,01.01.120_PARA,01.01.120,108,PARA
7141,01.01.120_PARAIBA,01.01.120,109,PARAIBA
6679,01.01.120_PERNAMBUCO,01.01.120,95,PERNAMBUCO
11274,01.01.120_RIO GRANDE DO NORTE,01.01.120,96,RIO GRANDE DO NORTE
9876,01.01.121_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.121,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
6625,01.01.121_PARA,01.01.121,108,PARA
6622,01.01.121_PERNAMBUCO,01.01.121,95,PERNAMBUCO
20501,01.01.121_RIO GRANDE DO NORTE,01.01.121,96,RIO GRANDE DO NORTE
7282,01.01.122_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.122,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
